id,category,rejection_reason
hi_kin2_025,kinship_paternal_maternal,duplicate_anchor
hi_kin2_039,kinship_paternal_maternal,duplicate_anchor
hi_kin2_040,kinship_paternal_maternal,duplicate_anchor
hi_kin2_045,kinship_paternal_maternal,duplicate_near
hi_kin2_053,kinship_paternal_maternal,duplicate_anchor
hi_kin2_061,kinship_paternal_maternal,duplicate_anchor
hi_kin2_069,kinship_paternal_maternal,duplicate_anchor
hi_kin2_096,kinship_paternal_maternal,duplicate_anchor
hi_kin2_097,kinship_paternal_maternal,duplicate_anchor
hi_kin2_098,kinship_paternal_maternal,duplicate_anchor
hi_kin2_099,kinship_paternal_maternal,duplicate_anchor
hi_kin2_104,kinship_paternal_maternal,duplicate_near
hi_kin2_105,kinship_paternal_maternal,duplicate_anchor
hi_age2_031,kinship_relative_age,duplicate_anchor
hi_age2_037,kinship_relative_age,duplicate_anchor
hi_age2_045,kinship_relative_age,duplicate_anchor
hi_age2_049,kinship_relative_age,duplicate_anchor
hi_age2_052,kinship_relative_age,duplicate_anchor
hi_age2_053,kinship_relative_age,duplicate_anchor
hi_age2_060,kinship_relative_age,duplicate_anchor
hi_age2_062,kinship_relative_age,duplicate_anchor
hi_age2_069,kinship_relative_age,duplicate_anchor
hi_age2_070,kinship_relative_age,duplicate_anchor
hi_age2_071,kinship_relative_age,duplicate_anchor
hi_age2_082,kinship_relative_age,duplicate_anchor
hi_age2_083,kinship_relative_age,duplicate_anchor
hi_age2_087,kinship_relative_age,duplicate_anchor
hi_age2_089,kinship_relative_age,duplicate_anchor
hi_age2_092,kinship_relative_age,duplicate_anchor
hi_age2_095,kinship_relative_age,duplicate_anchor
hi_age2_096,kinship_relative_age,duplicate_anchor
hi_age2_099,kinship_relative_age,duplicate_anchor
hi_age2_109,kinship_relative_age,duplicate_anchor
hi_for2_002,formality_tv,duplicate_anchor
hi_for2_013,formality_tv,duplicate_far
hi_for2_019,formality_tv,anchor_far_diff_12_tokens
hi_for2_024,formality_tv,duplicate_anchor
hi_for2_025,formality_tv,duplicate_anchor
