model,language,flattening,n_items,triplet_accuracy,mean_cosine_gap
E5-large,spanish,non_flattening,3,0.0,-0.013205210367838541
E5-multi,spanish,non_flattening,3,0.0,-0.011565526326497396
LaBSE,spanish,non_flattening,3,0.0,-0.09067386388778687
MiniLM-en,spanish,non_flattening,3,1.0,0.19594951470692953
MiniLM-multi,spanish,non_flattening,3,0.0,-0.08222643534342448
TF-IDF,spanish,non_flattening,3,0.0,-0.22711049137589487
bge-m3,spanish,non_flattening,3,0.0,-0.026237090428670246
E5-large,hindi,partial,99,0.8787878787878788,0.007785721860750757
E5-multi,hindi,partial,99,0.7878787878787878,0.007981573692475907
LaBSE,hindi,partial,99,0.8181818181818182,0.017254149672960996
MiniLM-en,hindi,partial,99,0.494949494949495,-0.0029641094833913477
MiniLM-multi,hindi,partial,99,0.7171717171717171,0.0052520987963435625
TF-IDF,hindi,partial,99,0.030303030303030304,-0.2711826890572136
bge-m3,hindi,partial,99,0.8787878787878788,0.02910803845434478
E5-large,spanish,partial,109,0.027522935779816515,-0.013693947857673016
E5-multi,spanish,partial,109,0.01834862385321101,-0.013764743411212886
LaBSE,spanish,partial,109,0.009174311926605505,-0.08700319659819297
MiniLM-en,spanish,partial,109,0.28440366972477066,0.02498458230167354
MiniLM-multi,spanish,partial,109,0.009174311926605505,-0.050594569346226685
TF-IDF,spanish,partial,109,0.05504587155963303,-0.12789870093544087
bge-m3,spanish,partial,109,0.05504587155963303,-0.029896944487860445
E5-large,hindi,strong,218,0.4954128440366973,0.0007829906743600828
E5-multi,hindi,strong,218,0.4724770642201835,-0.0007750725527422143
LaBSE,hindi,strong,218,0.44495412844036697,-0.005997351550180978
MiniLM-en,hindi,strong,218,0.0,-0.14997498062225656
MiniLM-multi,hindi,strong,218,0.2706422018348624,-0.0473133771244539
TF-IDF,hindi,strong,218,0.23394495412844038,-0.1369338269597393
bge-m3,hindi,strong,218,0.5504587155963303,0.02682178474347526
E5-large,spanish,strong,182,0.42857142857142855,-0.003952635513557182
E5-multi,spanish,strong,182,0.2857142857142857,-0.01376686318890079
LaBSE,spanish,strong,182,0.24725274725274726,-0.03420740988228347
MiniLM-en,spanish,strong,182,0.0,-0.1600788569712377
MiniLM-multi,spanish,strong,182,0.23076923076923078,-0.04534117861108466
TF-IDF,spanish,strong,182,0.14285714285714285,-0.23423116129124238
bge-m3,spanish,strong,182,0.6373626373626373,0.01079878833267715
