triplet_id,language,category,flattening,cos_gap__E5-large,cos_gap__E5-multi,cos_gap__LaBSE,cos_gap__MiniLM-multi,cos_gap__TF-IDF,cos_gap__bge-m3,sim_anchor_far__E5-large,sim_anchor_far__E5-multi,sim_anchor_far__LaBSE,sim_anchor_far__MiniLM-multi,sim_anchor_far__TF-IDF,sim_anchor_far__bge-m3,sim_anchor_near__E5-large,sim_anchor_near__E5-multi,sim_anchor_near__LaBSE,sim_anchor_near__MiniLM-multi,sim_anchor_near__TF-IDF,sim_anchor_near__bge-m3
es_ser2_001,spanish,ser_vs_estar,partial,-0.03215712308883667,-0.011113345623016357,-0.11949217319488525,-0.2321644425392151,-0.02931849703538314,-0.05715131759643555,0.9974536895751953,0.9972187876701355,0.9972912073135376,0.975220799446106,0.9414300595529593,0.989260196685791,0.9652965664863586,0.9861054420471191,0.8777990341186523,0.7430563569068909,0.9121115625175762,0.9321088790893555
es_ser2_003,spanish,ser_vs_estar,partial,-0.020360887050628662,-0.01829320192337036,-0.16672956943511963,-0.05509495735168457,-0.2903926536483985,-0.03336477279663086,0.9925810098648071,0.9897058606147766,0.9455031156539917,0.9898831248283386,0.9320325534173189,0.9490126371383667,0.9722201228141785,0.9714126586914062,0.7787735462188721,0.934788167476654,0.6416398997689204,0.9156478643417358
es_ser2_004,spanish,ser_vs_estar,partial,0.0008614659309387207,-0.00803232192993164,-0.055499136447906494,-0.014621317386627197,-0.01866449951671134,-0.01065981388092041,0.9901750683784485,0.9954203367233276,0.9968135952949524,0.9977009892463684,0.9669401151980561,0.9928067326545715,0.9910365343093872,0.987388014793396,0.9413144588470459,0.9830796718597412,0.9482756156813448,0.9821469187736511
es_ser2_005,spanish,ser_vs_estar,partial,-0.020742952823638916,-0.0251501202583313,-0.10803401470184326,-0.12049823999404907,-0.17590999537721763,-0.05613952875137329,0.9975432753562927,0.9957897067070007,0.9976977109909058,0.9992532730102539,0.9622196745548364,0.9965043663978577,0.9768003225326538,0.9706395864486694,0.8896636962890625,0.8787550330162048,0.7863096791776187,0.9403648376464844
es_ser2_006,spanish,ser_vs_estar,partial,-0.01970839500427246,-0.02164214849472046,-0.07910525798797607,-0.12372946739196777,-0.26627851977418704,-0.05385679006576538,0.9981600046157837,0.9969720244407654,0.9975779056549072,0.9987465143203735,0.9723666138015641,0.9957503080368042,0.9784516096115112,0.9753298759460449,0.9184726476669312,0.8750170469284058,0.706088094027377,0.9418935179710388
es_ser2_007,spanish,ser_vs_estar,partial,-0.008120954036712646,-0.007515847682952881,-0.053870320320129395,-0.013145744800567627,-0.019771635558933243,-0.0052394866943359375,0.9947494268417358,0.9923629760742188,0.9969334602355957,0.9992541670799255,0.9645931623621242,0.9895522594451904,0.9866284728050232,0.9848471283912659,0.9430631399154663,0.9861084222793579,0.944821526803191,0.9843127727508545
es_ser2_008,spanish,ser_vs_estar,partial,-0.0060076117515563965,-0.006438493728637695,-0.06891834735870361,-0.038312554359436035,-0.02201771822014509,-0.007379293441772461,0.9959988594055176,0.9946932792663574,0.9973791837692261,0.9878643155097961,0.9596469904510772,0.9958540201187134,0.9899912476539612,0.9882547855377197,0.9284608364105225,0.9495517611503601,0.9376292722309321,0.9884747266769409
es_ser2_009,spanish,ser_vs_estar,partial,-0.01115483045578003,-0.013136744499206543,-0.048789381980895996,-0.022174298763275146,-0.0351510713742329,-0.025803685188293457,0.9976804852485657,0.997687578201294,0.9968644976615906,0.9990525245666504,0.8924092916152357,0.9949805736541748,0.9865256547927856,0.9845508337020874,0.9480751156806946,0.9768782258033752,0.8572582202410028,0.9691768884658813
es_ser2_011,spanish,ser_vs_estar,partial,-0.012061476707458496,-0.00784313678741455,-0.07456696033477783,-0.020308196544647217,-0.023343138406339392,-0.013068735599517822,0.9973539113998413,0.9963209629058838,0.9960682392120361,0.9983128905296326,0.9566012391980221,0.996648907661438,0.9852924346923828,0.9884778261184692,0.9215012788772583,0.9780046939849854,0.9332581007916827,0.9835801720619202
es_ser2_012,spanish,ser_vs_estar,partial,-0.021699726581573486,-0.015333294868469238,-0.09363597631454468,-0.05144292116165161,-0.3105926598000618,-0.025611042976379395,0.9963602423667908,0.9954675436019897,0.9953280687332153,0.9969380497932434,0.9705539146395842,0.9828989505767822,0.9746605157852173,0.9801342487335205,0.9016920924186707,0.9454951286315918,0.6599612548395224,0.9572879076004028
es_ser2_013,spanish,ser_vs_estar,partial,-0.010975062847137451,-0.015052378177642822,-0.13466638326644897,-0.06835711002349854,-0.019878711713137376,-0.018961846828460693,0.9970839619636536,0.9924087524414062,0.9612405300140381,0.959425687789917,0.9643631124238883,0.9895235300064087,0.9861088991165161,0.9773563742637634,0.8265741467475891,0.8910685777664185,0.9444844007107509,0.970561683177948
es_ser2_014,spanish,ser_vs_estar,partial,-0.032935380935668945,-0.029631197452545166,-0.10291409492492676,-0.12234991788864136,-0.1657786835012569,-0.1381213665008545,0.9971369504928589,0.9963995814323425,0.9961864948272705,0.9949202537536621,0.9654171472226223,0.9931665658950806,0.9642015695571899,0.9667683839797974,0.8932723999023438,0.8725703358650208,0.7996384637213654,0.8550451993942261
es_ser2_015,spanish,ser_vs_estar,partial,-0.008487105369567871,-0.0033807754516601562,-0.07180434465408325,-0.01363217830657959,-0.14124001673199627,-0.008950531482696533,0.9976305961608887,0.9952187538146973,0.9939209222793579,0.9985443353652954,0.9675598477255241,0.9934167265892029,0.9891434907913208,0.9918379783630371,0.9221165776252747,0.9849121570587158,0.8263198309935278,0.9844661951065063
es_ser2_016,spanish,ser_vs_estar,partial,-0.009885787963867188,-0.040380895137786865,-0.16186118125915527,-0.0629076361656189,-0.32456995363857044,-0.06974732875823975,0.9782131314277649,0.9902793765068054,0.9916659593582153,0.9926249980926514,0.9593800993047377,0.9815053939819336,0.9683273434638977,0.9498984813690186,0.8298047780990601,0.9297173619270325,0.6348101456661672,0.9117580652236938
es_ser2_017,spanish,ser_vs_estar,partial,-0.02966076135635376,-0.03794986009597778,-0.14115643501281738,-0.250940203666687,-0.14436105243242947,-0.1290220022201538,0.9973574280738831,0.9973006248474121,0.9965119361877441,0.9993372559547424,0.9715902796793545,0.9950312376022339,0.9676966667175293,0.9593507647514343,0.8553555011749268,0.7483970522880554,0.827229227246925,0.8660092353820801
es_ser2_018,spanish,ser_vs_estar,partial,-0.023131906986236572,-0.012171387672424316,-0.11824136972427368,-0.034961044788360596,-0.14384884569318024,-0.042155444622039795,0.9951040148735046,0.9978677034378052,0.9954402446746826,0.999291181564331,0.977855603880885,0.9930890798568726,0.9719721078872681,0.9856963157653809,0.8771988749504089,0.9643301367759705,0.8340067581877048,0.9509336352348328
es_ser2_019,spanish,ser_vs_estar,partial,-0.005087435245513916,-0.011725425720214844,-0.07576608657836914,-0.0013058781623840332,-0.15061992883898878,-0.00853961706161499,0.9959299564361572,0.9977798461914062,0.9934935569763184,0.983971118927002,0.9690436752355609,0.9953707456588745,0.9908425211906433,0.9860544204711914,0.9177274703979492,0.9826652407646179,0.8184237463965721,0.9868311285972595
es_ser2_020,spanish,ser_vs_estar,partial,-0.03289300203323364,-0.02746570110321045,-0.10866200923919678,-0.2320181131362915,-0.06612138847836224,-0.036414921283721924,0.9970956444740295,0.9977315068244934,0.9914636611938477,0.9892043471336365,0.8691888037209434,0.9657289385795593,0.9642026424407959,0.970265805721283,0.8828016519546509,0.757186233997345,0.8030674152425812,0.9293140172958374
es_ser2_021,spanish,ser_vs_estar,partial,-0.0030875205993652344,-0.005949437618255615,-0.03777897357940674,-0.014837801456451416,-0.02062514572606544,-0.0026592612266540527,0.9895734786987305,0.9955881237983704,0.9948211908340454,0.9978533387184143,0.962743855608047,0.9739634394645691,0.9864859580993652,0.9896386861801147,0.9570422172546387,0.9830155372619629,0.9421187098819815,0.971304178237915
es_ser2_022,spanish,ser_vs_estar,partial,-0.013886868953704834,-0.014282643795013428,-0.12720584869384766,-0.01612299680709839,-0.25841450486138107,-0.022326111793518066,0.9829258322715759,0.9958178997039795,0.9932787418365479,0.9555728435516357,0.9466079939988314,0.9621634483337402,0.9690389633178711,0.9815352559089661,0.8660728931427002,0.9394498467445374,0.6881934891374504,0.9398373365402222
es_ser2_025,spanish,ser_vs_estar,partial,-0.022430121898651123,-0.009349226951599121,-0.13899576663970947,-0.24964666366577148,-0.025987790732918348,-0.04132366180419922,0.9907702803611755,0.9945434331893921,0.9939406514167786,0.9671127796173096,0.9502039868442104,0.964278519153595,0.9683401584625244,0.985194206237793,0.8549448847770691,0.7174661159515381,0.924216196111292,0.9229548573493958
es_ser2_026,spanish,ser_vs_estar,partial,0.007350325584411621,-0.005381524562835693,-0.1246957778930664,-0.005900323390960693,-0.02535403537926406,0.0357133150100708,0.9782527685165405,0.9920386672019958,0.9932857751846313,0.9600216746330261,0.9391557366566035,0.941908597946167,0.9856030941009521,0.9866571426391602,0.8685899972915649,0.9541213512420654,0.9138017012773394,0.9776219129562378
es_ser2_027,spanish,ser_vs_estar,partial,-0.01240694522857666,-0.007249236106872559,-0.06878501176834106,-0.009624063968658447,-0.015072217075269512,-0.023655295372009277,0.9971522092819214,0.996788740158081,0.9965229630470276,0.9994228482246399,0.9741885294940997,0.9964662790298462,0.9847452640533447,0.9895395040512085,0.9277379512786865,0.9897987842559814,0.9591163124188302,0.9728109836578369
es_ser2_028,spanish,ser_vs_estar,partial,-0.03769266605377197,-0.017918765544891357,-0.09533947706222534,-0.01959228515625,-0.1349503859796346,-0.026904940605163574,0.9950579404830933,0.9972198605537415,0.9964137077331543,0.9980233311653137,0.973388583724184,0.9846598505973816,0.9573652744293213,0.9793010950088501,0.901074230670929,0.9784310460090637,0.8384381977445494,0.957754909992218
es_ser2_029,spanish,ser_vs_estar,partial,-0.011344850063323975,-0.009636342525482178,-0.1018783450126648,-0.022331655025482178,-0.24376288858025663,-0.014684677124023438,0.9968773722648621,0.9954364895820618,0.9935882687568665,0.986945629119873,0.9599030061386336,0.9959081411361694,0.9855325222015381,0.9858001470565796,0.8917099237442017,0.9646139740943909,0.7161401175583769,0.981223464012146
es_ser2_030,spanish,ser_vs_estar,partial,-0.005147814750671387,-0.007490396499633789,-0.06773924827575684,-0.02646315097808838,0.06388496921790787,-0.005175232887268066,0.994553804397583,0.9968209266662598,0.9951543211936951,0.9942284226417542,0.9029145275988174,0.9877684116363525,0.9894059896469116,0.989330530166626,0.9274150729179382,0.9677652716636658,0.9667994968167253,0.9825931787490845
es_ser2_031,spanish,ser_vs_estar,partial,-0.006097018718719482,-0.014253020286560059,-0.06700301170349121,-0.014096558094024658,-0.02143221651784455,-0.022862374782562256,0.9962499141693115,0.9955272674560547,0.996300458908081,0.9953324794769287,0.9609614591174446,0.9934435486793518,0.990152895450592,0.9812742471694946,0.9292974472045898,0.981235921382904,0.9395292425996,0.9705811738967896
