model,condition,n,pearson_r,pearson_p,spearman_rho,spearman_p
E5-large,english_pivot,611,0.1859110689072767,3.720616795666684e-06,0.12615761283240287,0.0017809385984203212
E5-multi,english_pivot,611,0.15320269348346474,0.00014374276471375085,0.13132754410538608,0.001139272361429791
LaBSE,english_pivot,611,0.26860919005241385,1.4739448716381334e-11,0.13908943036191723,0.0005651673885230028
MiniLM-en,english_pivot,611,0.11508836527029986,0.004393322907468973,0.0983837050873363,0.014982003579592515
MiniLM-multi,english_pivot,611,0.10394876146713584,0.010135981405852895,0.09773905667575045,0.015657788578287007
TF-IDF,english_pivot,611,0.17704010178288226,1.0725358738461297e-05,0.11841174511869648,0.003375730018703128
bge-m3,english_pivot,611,0.15187878106237362,0.0001642989067303509,0.10668699248273117,0.008308495160787983
E5-large,native,611,0.1725383443779249,1.800115369593216e-05,0.03912637564857289,0.33427880083317474
E5-multi,native,611,0.13584575449372557,0.0007609158071798999,0.06668450619737061,0.09960055170679134
LaBSE,native,611,0.11842794217849748,0.0033713442979908317,0.061851550466797876,0.12671030604028835
MiniLM-multi,native,611,0.08304540118526074,0.040160644018214606,0.05649686551813554,0.16308599728626083
TF-IDF,native,611,0.13161089421442332,0.0011111994278216702,0.11727039808467161,0.0036981413477326737
bge-m3,native,611,0.0852861916479965,0.03506008137446789,0.06460095779032915,0.11066083399595016
