triplet_id,language,category,flattening,model,condition,sim_anchor_near,sim_anchor_far,cos_gap,correct
hi_kin_001,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.986438512802124,0.9391233325004578,0.04731518030166626,1
hi_kin_002,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9903086423873901,0.9244784712791443,0.06583017110824585,1
hi_kin_003,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9911885857582092,0.9314510822296143,0.05973750352859497,1
hi_kin_004,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9964689016342163,0.9598544239997864,0.03661447763442993,1
hi_kin_005,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9627833366394043,0.8013752698898315,0.16140806674957275,1
hi_kin_006,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9070816040039062,0.8248237371444702,0.08225786685943604,1
hi_kin_007,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.906840443611145,0.8986721634864807,0.008168280124664307,1
hi_kin_008,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9821938276290894,0.9259606599807739,0.05623316764831543,1
hi_kin_009,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9911284446716309,0.9039273858070374,0.0872010588645935,1
hi_kin_010,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9893270134925842,0.9363049268722534,0.05302208662033081,1
hi_kin_011,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9700362682342529,0.8907889723777771,0.07924729585647583,1
hi_kin_012,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.9852803349494934,0.8995526432991028,0.08572769165039062,1
hi_kin_013,hindi,kinship_paternal_maternal,strong,LaBSE,native,0.959104061126709,0.9038829207420349,0.05522114038467407,1
hi_age_001,hindi,kinship_relative_age,partial,LaBSE,native,0.9970042109489441,0.9586644768714905,0.03833973407745361,1
hi_age_002,hindi,kinship_relative_age,partial,LaBSE,native,0.9909458160400391,0.9435911774635315,0.04735463857650757,1
hi_age_003,hindi,kinship_relative_age,partial,LaBSE,native,0.9890506267547607,0.9385166764259338,0.050533950328826904,1
hi_age_004,hindi,kinship_relative_age,partial,LaBSE,native,0.9239919185638428,0.9353005886077881,-0.011308670043945312,0
hi_age_005,hindi,kinship_relative_age,partial,LaBSE,native,0.9700667262077332,0.9514826536178589,0.018584072589874268,1
hi_age_006,hindi,kinship_relative_age,partial,LaBSE,native,0.9967447519302368,0.9359069466590881,0.06083780527114868,1
hi_age_007,hindi,kinship_relative_age,partial,LaBSE,native,0.9908933639526367,0.9597305059432983,0.03116285800933838,1
hi_age_008,hindi,kinship_relative_age,partial,LaBSE,native,0.9799202680587769,0.9423270225524902,0.03759324550628662,1
hi_age_009,hindi,kinship_relative_age,partial,LaBSE,native,0.9907681941986084,0.9625084400177002,0.028259754180908203,1
hi_age_010,hindi,kinship_relative_age,partial,LaBSE,native,0.9977413415908813,0.959795355796814,0.03794598579406738,1
hi_age_011,hindi,kinship_relative_age,partial,LaBSE,native,0.9722893238067627,0.963466465473175,0.008822858333587646,1
hi_age_012,hindi,kinship_relative_age,partial,LaBSE,native,0.9885829091072083,0.9520515203475952,0.03653138875961304,1
hi_vga_001,hindi,verb_gender_agreement,strong,LaBSE,native,0.9280773401260376,0.998502254486084,-0.07042491436004639,0
hi_vga_002,hindi,verb_gender_agreement,strong,LaBSE,native,0.9728630781173706,0.9972132444381714,-0.02435016632080078,0
hi_vga_003,hindi,verb_gender_agreement,strong,LaBSE,native,0.9942582845687866,0.9993635416030884,-0.005105257034301758,0
hi_vga_004,hindi,verb_gender_agreement,strong,LaBSE,native,0.9924787282943726,0.9998877048492432,-0.0074089765548706055,0
hi_vga_005,hindi,verb_gender_agreement,strong,LaBSE,native,0.9743085503578186,0.9899274110794067,-0.015618860721588135,0
hi_vga_006,hindi,verb_gender_agreement,strong,LaBSE,native,0.920773983001709,0.9955523014068604,-0.07477831840515137,0
hi_vga_007,hindi,verb_gender_agreement,strong,LaBSE,native,0.891237735748291,0.9996632933616638,-0.1084255576133728,0
hi_vga_008,hindi,verb_gender_agreement,strong,LaBSE,native,0.9940492510795593,0.9997462630271912,-0.005697011947631836,0
hi_vga_009,hindi,verb_gender_agreement,strong,LaBSE,native,0.9440351724624634,0.9995429515838623,-0.055507779121398926,0
hi_vga_010,hindi,verb_gender_agreement,strong,LaBSE,native,0.9750695824623108,0.9980496168136597,-0.022980034351348877,0
hi_vga_011,hindi,verb_gender_agreement,strong,LaBSE,native,0.9869509935379028,0.9956562519073486,-0.0087052583694458,0
hi_vga_012,hindi,verb_gender_agreement,strong,LaBSE,native,0.9933569431304932,0.9995754957199097,-0.006218552589416504,0
hi_vga_013,hindi,verb_gender_agreement,strong,LaBSE,native,0.9787579774856567,0.9989649057388306,-0.020206928253173828,0
hi_for_001,hindi,formality_tv,strong,LaBSE,native,0.8482321500778198,0.9980721473693848,-0.14983999729156494,0
hi_for_002,hindi,formality_tv,strong,LaBSE,native,0.8670762181282043,0.9989464282989502,-0.13187021017074585,0
